,comentario,liguagem
0,"When my mum heard the first time, it was in my car and she said: I love this song. Last year when she passed away, it was played at the funeral. I couldn‘t stop crying, because it reminded me at this moment in my car. I still miss her every day. When I‘m very sad, I listen to this song, knowing that I lost someone, who cannot be replaced, but there is the promise, that the wound will heal someday.",en
1,This is 2023 and this song is still a masterpiece.,en
2,"When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse",en
3,"When my son was 5, he's 21 now. We would dance around the kitchen singing this song to each other. Still makes me tear up. Love this",en
4,ESSA MÚSICA É MUITO LINDA CARA  DESDE QUE OUVI NO FINAL DA SERIE LA CASA DE PAPEL,pt
5,"0:00 lethargy and helplessness
0:38 plague of melancholy 
0:45 dark tunnel 
1:09 solace",en
6,"25% Meme
25% Depression
25% Coldplay 
25% Cool Melody",en
7,"Whenever I'm sad, I listen to bunch of depressing songs but always end up putting this song on loop at the end, this song gives me hope to carry on. Thanks Coldplay for this masterpiece.",en
8,"When you try your best, but you don't succeed

When you get what you want, but not what you need

When you feel so tired, but you can't sleep

Stuck in reverse",en
9,"""Quando se perde algo que não pode substituir"" perdi meu bebê a menos de 1 mês, e ouvi essa música a noite toda quando ainda estava perdendo ele,tentando saber como seria seguir em frente com esse vazio no peito,sem poder fazer nada por ele. Me acalma e me lembra dele. As luzes te guiarão até sua casa meu amor .",pt
10,"Ontem fui ver Coldplay ao vivo e nunca me senti tão viva!!! É uma experiência que vai ficar gravada na minha memória para sempre e palavras não chegam para explicar oq senti!!! E quando tocou fix you, eu chorei lágrimas que estavam presas durante muito tempo, foi um alívio 
Obrigada️️️",pt
11,"After 15 awesome years, looks like my dog is about to give in. This song never made so much sense to me and never made me cry this much before. This is the power of music. It connects with you, and wake these emotions you had inside of you but didn't even knew. Some people may think it's kinda ridiculous to feel like this for a pet, but he's not just a pet. He's a family member. He's my younger brother. And i kind of got the chorus on reverse. I tried to ""fix"" him, but seems like soon the lights will guide him and ignite his bones. I hope that, wherever he goes, is somewhere with no pain and chicken fillet rains every thursday. But he'll have to make new friends, because i won't be there for him for some time. I hope he knows that one day i'll go pick him up.",en
12,"Sitting in silence driving our son to hospital for a life saving operation at 10 months old, this song came on the radio.  My husband and I both had tears listening to it.  Our son is now 17 and Coldplay is his favourite band.  To be able to take him to the concert in Perth in November is going to be the most amazing thing ever, he has said it's going to be the best night of his life ",en
13,Para mim esta música é intemporal... quanto mais a oiço mais apetece ouvir. Linda. Linda. Linda...,pt
14,This song gives me life! I feel it in my soul!!,en
15,"18 anos do lançamento dessa música e ela ainda me surpreende! Após ver o show ao vivo deles, ela teve mais significado ainda. É impressionante como ela toca na dor mais profunda que temos!! E sim iremos nos consertar com o tempo! Thank you Coldplay for so much, in so little! ",pt
16,Been dealing with depression and anxiety from the begining of the year. Same year I’ll see coldplay live. This music bring me up for a little. This music gives me chills. This music Will help me get the best of me again. Thank You Coldplay,en
17,Coldplay's music is real art.,en
18,Ouvir esta música ao vivo é absolutamente magistral!,pt
19,"i’m always crying while listening this song at the ending part since i was in age of 15, that remains me of all my sadness and happiness moment through my life",en
20,"A lot of comments said that some of you just discovered this masterpiece..

Just wanna share a fact why this song is so meaningful for them. Chris (vocalist) wrote this song for his then girlfriend (now ex-wife) after her dad passed away. She was so heartbroken because she had very close relationships with her father. That’s the reason this beautiful song called Fix you. Tried to fix her broken heart",en
21,Essa música nunca envelhece 🇧🇷,pt
22,Aqui depois do show mais incrível e lindo da minha vida. Coldplay no RJ 25/03. Inesquecível. ️,pt
23,"Está música tem o poder de desenterrar qualquer dor, que esteja escondida em nossa alma, é trazer tudo o que ainda não foi visto por nós mesmos e sido curado verdadeiramente! É uma canção sincera e de puro amor!!! O planeta, os humanos precisam de amor e luz!!",pt
24,"Que música maravilhosa. Completamente atemporal. Uma música para história. Ela inspira, melhora o astral e ainda é uma tremenda reflexão. Uma obra prima.",pt
25,Impossível não chorar com esta canção. Toca à alma! ,pt
26,"Essa música de começo conta o quanto é difícil certas situações,mas no final a gente sempre volta pra casa e fica tudo bem. Desejo a todos amor e muita paz, todos nós precisamos",pt
27,"The fact that he wrote this song for Gwyneth after she lost her dad, changes everything. The way he looks into the camera, meaning behind those words, trying to make her feel better, magical. That's love.",en
28,Gosto de todas as músicas do COLDPLAY ,pt
29,"Não me canso de ouvir. Linda, a mensagem então é maravilhosa. Banda incrível.",pt
30,Não tem como eu não me emocionar com essa música!!! Linda melodia!!! Adoro vcs Coldplay!!! 🥹,pt
31,Essa canção é um lindo hino pro meu coração ️️️️️️️️️️️️️,pt
32,This song is timeless. Gives me goosebumps every time I hear it. The crowd at the end finish it off perfectly. Flawless,en
33,"Minha música favorita, preciso ouvi-lá ao vivo  antes de morrer!️ 11/03/2023",pt
34,im not the only one who gets chills when the fans start singing... right?,en
35,I just put my cat to sleep today and I am devastated. This song just emulates how I feel. I couldn’t fix him. I tried my best and I didn’t succeed. Rest in peace taco. I love you xx,en
36,"QUE COISA MAIS LINDA de se ouvir, obrigada Coldplay ️️️",pt
37,Essa música toca muito no profundo da alma tem uma mensagem de paz nela,pt
38,My son was in hospital having chemo and bone marrow transplant and this was played a lot. It resembles everything I was feeling at the time and I have loved this song ever since. I have seen them live and OMG what an experience that was. Just amazing xx,en
39,A melhor música de todos os tempos,pt
40,"Whether I'm happy or sad, I'll always come back to this song.",en
41,"O tanto que eu tô ansiosa pra ouvir essa música ao vivo, no show, não tá escritoooooooo ️️️️️",pt
42,I love this song  ~ so beautiful,en
43,"This is officially became my life song since i graduated from high school.

For those who fights for their own life, stay strong, you are with me.",en
44,Essa música  umas das mais belas profundas das história da terra    viva Coldplay ,pt
45,"Eu tive a alegria de vê-los ao vivo em Curitiba e posso dizer com toda firmeza na voz! É a melhor banda de todos os tempos! Existe neles uma energia e harmonia inexplicável! Uma parte de Deus na voz de Chris Martin e nos outros integrantes. Gratidão  
Um conselho… façam um esforço para vê-los, vocês vão entender.",pt
46,what a gift ..touching all the inner chords ...,en
47,"For introverts like me, this song is actually like that one best friend who is gonna fix everything for me. All I need is to believe it and let the lights guide me home. 
Thank you COLDPLAY.",en
48,Coldplay é arte misturada com sentimentos genuínos e puro.,pt
49,Ir no show deles em SP foi uma das melhores experiências da minha vida e ouvir a música que eu mais amo ,pt
50,"Still, gives me goosebumps every time........Thank u Coldplay for giving me hope.",en
51,"This song reminds me when I am going through a very difficult time, when loneliness, deep emptiness and sadness are getting heavier and heavier, but day by day all of that starts to disappear slowly, and when I listen to it again I back cry, as if everything it flashed back in my head",en
52,"When you try your best and you don't succeed
When you get what you want but not what you need
When you feel so tired but you can't sleep
Stuck in reverse",en
53,Amo de mais todas as músicas dele ,pt
54,Queria ir ao show só para ouvir essa música ,pt
55,The most beautiful song that hurts so much. Reminds me of my mum during her illness before she passed. A masterpiece,en
56,"Eu tive o privilégio de ver isso ao vivo, melhor dia da minha vida  Só restou saudades",pt
57,Major chills every time I hear this. What an incredible song.,en
58,"Tears stream down your face,when you lose something you can't you can't replace.",en
59,Coldplay é vida,pt
60,No song has ever touched me as deeply as this.,en
