,comentario,liguagem
0,"As a girl who has a crush a a girl who has a boyfriend, this is very relatable.",en
1,As a bi person this song is totally relatable. Love you Dove ️️️,en
2,As a lesbian this song is just ethereal to listen  to,en
3,Im in love with this song! Im so happy thata woman can NOW sing about her love/attraction to another woman and it actually gets played on the radio! We've came a long way since I came out back in the 90s,en
4,To orgulhosa ,pt
5,"Dove never disappoints. She gives it his all, and everything she does is amazing. ",en
6,I love your music so much!!!! I came out to my mom as lesbian in October and my mom showed me this song as her way of telling me that she supports me and loves me for who I am!!! Thank you so much Dove!! If it wasn't for this song I wouldn't have known how much my mom supports me!!!!,en
7,Dove has changed so much since she left Disney channel and I’m so proud of her!! Love ya dove!,en
8,It's been one year since this song has been released and I still love it. Absolute perfection,en
9,“what am i gonna do? not grab your wrist” dove cameron you know exactly what you are doing for women and for the sapphics and i love you for it. what a song,en
10,I'm not a lesbian but a long ago thespian who is addicted to music and everything about this song is so bold on top .. but so soft and subtle that it's funny to me that some people literally have no clue what this song is about.. so I say well done bravo and thank you! For the masses who lost out on what your song is actually about that is why they will lose their girlfriends not only to someone who will appreciate them but also another wardrobe... And if this thespian is ever able to open up her long-awaited dream which is a burlesque theater right here and Podunk Anderson Indiana for forming arts center,en
11,"Ms. Cameron has always excelled in whichever industry she chooses to go into. I admit, I am quite surprised at the the difference between her style of music compared to her earlier work, but I find myself quite pleased with the quality. I look forward to seeing your next move",en
12,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
13,WOW..... this vibe is everything. I cannot stop playing this on repeat,en
14,Round of applause for Dove and the directors’ work. The sense of euphoria and nostalgia I got from this video is sickening. Loved it!,en
15,EU AMEIII DEMAIS! NÃO PARO DE ESCUTAR! ️,pt
16,This song is on repeat in my playlist. Loveeeee it and the videography is so freaking awesome. Nailed it Dove ,en
17,"LYRICS: 



I can't believe we're finally alone

I can't believe I almost went home",en
18,give this woman all the awards and all the respect she deserves right now!,en
19,after 6 months it’s still stuck in my head this just shows how good of a song this is,en
20,"Didn't really watch Disney so the comment section was interesting as I've never heard of this person until I randomly found this song in a playlist. So glad I did. 
I am loving this song, it's perfect, and the visuals are STUNNING too!",en
21,As a woman who just finally came out I totally love this song and her! ,en
22,"This is just fantastic! You are so good, Dove! ️",en
23,"as a fan of dove since 2014 it means everything to see her thriving and being so confident, she deserves all the success and love in the world",en
24,Essa mulher é muito linda e maravilhosa adoro muito a voz dela espero que ela tenha muito sucesso na vida sou muito fã dela e tenho muito orgulho dela e também eu amo ela ️️️️,pt
25,"I absolutely love this song. And I love you, Dove! Your voice is heaven  ",en
26,Your voice in the opening sounds like a 1930's lounge singer and it's pretty great dichotomy with the rest of the song <3,en
27,"People,we need more songs like this!! I love it ️️‍️‍‍️‍‍",en
28,"God I love being gay, it's the most incredible thing I have ever experienced. Women are everything.",en
29,"I'm so glad Dove is getting the attention she deserves, she always comes out with hits just like this one!",en
30,i love you queen you slayed so hard and im so proud of you for coming out!!!! we stan you! ,en
31,Não supero esse hino nunca,pt
32,This is a Masterpiece I love how she has grown up and decided her own future I fully support it and I love the song ,en
33,When are you coming out with more music????? We need more of this!!!!!!! ,en
34,"I'm not a lesbian, I'm a straight man and I love this song!! It's easier for me to sing to a women's voice anyways. Love the aesthetic <3",en
35,"This is so cool. Love your voice, the lyrics are clever. Love it! You're amazing!",en
36,I hope she continues making songs with this vibe. Her voice is so good.,en
37,"I love how it its mostly focused on their faces to show how they love each other just from their facial expression, God ,I love this.",en
38,"What a great song Dove, I really loved it, you broke it all, I kept going 
I love you so much Dove ",en
39,From Disney star to her own person. Great work Dove,en
40,"This girl is absolutely AMAZING Her voice is so beyond sultry, sexy and beautiful and I just adore her!!!!! Dove Cameron, you are everything !!!!! Don't ever doubt yourself I am not gay but I totally worship the ground you walk on Please please please keep the songs coming!!!!!!!",en
