,comentario,liguagem
0,She’s paying homage to all her eras in this music video. The transition from black & white to colors is a new beginning full of freedom and away from misery. Love it X,en
1,Her voice reaches the dark places in your soul and hugs them.,en
2,"I always come back to this song when I needed encouragement to not dwell on my past and forgive myself for being too young, not knowing how to help myself back then. Thank you Adele, you're one of a kind.",en
3,"I love Adele's voice so much ! So pure, so sweet. I think she's beautiful !!! ",en
4,So glad my baby is back ️️️,en
5,Adele é SHOW,pt
6,"Amo essa música, me fez entender muito sobre algumas pessoas que são importantes pra mim ️🇧🇷",pt
7,How does a sound penetrate your depths like this? Chills Adele is a cosmic marvel!,en
8,"Os anos passam e a Adele continua me impressionando, que música linda!",pt
9,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself”  the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
10,"She is the proof that we still need beauty and romance. No aggression, no violence... Just pure beauty. Thank you, Adele!",en
11,"As músicas da adele traz algo tão bom, a melhor cantora que ouvi em toda minha vida!",pt
12,"Adele inspired me to go all in with my music because she was once just like me, an artist without many listeners. And now she’s on top. I believe it will happen for me one day, Im not stopping when it does! ",en
13,Adele não erra nunca!!! como eu amo esta mulher!!!,pt
14,One of the best performances I've ever heard. Great vocals. Kudos to the piano and bass as well.,en
15,"something beautiful about Adele’s music is that it is so everlasting. this song is absolutely beautiful. an eternal voice, I still have the same feeling watching this as i did 10 years ago as a kid, listening to rolling in deep in the car with my family on the way back from school. a completely different time, different time in her life, and a time where I never really understood her lyrics because I was so young. now I do. yet even so I still have that exact same feeling listening to her music now as I did all those years ago. a voice like that is so beautiful and is truly eternal. thank u Adele for all that u do and sharing ur life and thoughts and feelings through ur music <3",en
16,"This woman is wonderful! She has the gift and power to touch my soul when she starts singing. Thank you for making me so emotional, thank you for allowing me to feel alive with her songs. I love you",en
17,Adele e a melhor cantora que já vi vei quando eu ouvir essa música eu mim emocionei muito boa ,pt
18,Amo essa música!!,pt
19,"for me its not about beeing a hit. Its about beeing authentic, empathic and just true. What a masterpiece.",en
20,Maravilhosa ️,pt
21,Adoro essa música ️ e Adele tá linda nesse vídeo,pt
22,"I am obsessed with this song and it's not just the lyrics, the music as well.  It's stuck in my head and I love it.",en
23,Esse videoclipe ficou parecendo uma extensão de Hello. Perfeito como sempre ,pt
24,She's the only ONE who can make anyone cry over someone they've never had / over some experience they've never encountered before. That's ADELE! ️,en
25,"Adele, you don't care what people say, be strong, and people are jealous of you because you're famous. I love you, Adele.",en
26,Amo muito essa canção ,pt
27,"OMG. I just love Adele. Her voice is beautiful, none other like it.",en
28,When Adele releases a song she is giving a gift to humanity. What a powerful voice,en
29,Absolutely one of her greatest songs and one of my favorite songs by Adele! I can listen to it anytime. So beautifully sung. I could say so much about how amazing this song is. Happy 35th Birthday to Adele! 5/5/2023,en
30,Perfeição ,pt
31,Eu amo essa música te amo adele,pt
32,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
33,"I’ve always been an avid Adele fan, but wow… I always feel like she’s speaking directly to me… Talented just isn’t a word that does her justice",en
