,comentario,liguagem
0,Wow huge featuring ! Congrats Rema ! Keep being ambitious and reaching the whole world. Proud that african music spreeds all around thé world. Thank you Nigerian artists for so much work and success !,en
1,Vamos levar esse vídeo a 1 bilhão ? ,pt
2,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
3,"A Beautiful song with catchy lyrics. And the MV is really chill, subtle and classy. No sexual ,no indecency , no twerking and no boobs and ass which i think all of us had enough of it.",en
4,"I love how the  gets down under your skin and you feel the music, your body responds to it instead of just using your ears to listen. Great music.",en
5,"I just found out about this song recently, since I know this song, I keep listening to it over and over again without feeling bored because this song has a charm that makes people feel very comfortable.",en
6,"Eu amo essa música , quando toca no rádio ja  começo a dançar.",pt
7,The video is so simple yet it delivers very perfectly. Selena's glance is so powerful.,en
8,"A very upbeat sounding little song. I happened to hear it in the middle of one of my usual miserable thinking about the abyss moments, and it was a happy diversion. Hoping whoever is reading this is having a good night, and many good tomorrows to come.",en
9,This song has been on repeat since it came out  I can’t listen to anything else and I’m so glad there’s a music video for it now! ️,en
10,UN TU QUE ESTAS LEYENDO ESTO VAS HACER EXITOSO CREO EN TI ,pt
11,"I bet that this song will age like wine , older it gets better it become",en
12,"This song literally calms me down, but makes me dance at the same time.",en
13,I'm so mesmerized by this song! Selena's voice is such perfection,en
14,Essa música combina com tudo️🇧🇷,pt
15,It has been about 3 days since release.... & I've had this on replay all day every day. I can't get enough!! Her voice is so beautiful & with this energy.... I'm intoxicated. New anthem for life !!! Lol,en
16,Never been  into Selena but I must say that I like her voice and she is aging into an attractive woman. Best way I can describe this song is “sweet and innocent.” They both sound great.,en
17,Love the vibe of this song. Something jamming with relaxing vibes! Something you can dance alone closing your eyes and feel the vibe of this song! Feel free and have a moment ️,en
18,"She never disappoints, i can listen to this song non stop",en
19,"I come back to this song every day, it has such a good vibe, love it!",en
20,"This song makes me feel free, hopeful of this moment, nostalgic about the good past and excited about the future.
It seems impossible not to connect to it, the melody is so mellow and fresh feels like a cool breeze to the soul.",en
21,Beautiful song and Selena looks amazing. Well done girl !!! Congratulations for you and Roma . Beautiful lyrics,en
22,Rema & Selena broke the record for the longest charting afrobeat song on the Billboard Hot 100!! Congratulations to both Artist! ,en
23,Ever since I first heard this song I’ve fallen in love with it. It’s so chill and easy to listen to. My song of the summer ️,en
24,This is absolutely my favorite song ever so beautiful The vibes are so amazing ️️️️,en
25,We need more music like this ,en
26,This song  is such a vibe. Especially days when I’m busy it definitely lets me simply Calm Down.,en
27,I love this song. Selena is such an amazing artist ,en
28,"Congratulation Rema,,,, your song is truly master piece... I bet Selena know it",en
29,You won't calm down after listening this masterpiece ,en
30,I love Selena! She is so beautiful and her voice is so soothing. I could play this song all day and not get tired of it.,en
31,Essa música transmite uma paz,pt
32,Nigerians are proud of you bcos of your great performance. Your music has entered World record. Congratulations Rema.,en
33,"I love this with her Singing in it ... 
It Gives it a Whole Different Vibe.",en
34,Só agora que conheci essa música já tô Viciadäo,pt
35,Her performance is so majestic. ️,en
36,"I feel that these sounds , vibe  and energy fit so good with Selena. She is like more mature , chill and enjoying  the life without the hollywood celebrities drama.",en
37,"Love from Brasil for this song. I love Selena and Rema so much. The music is perfect, the videoclip is wonderful.",en
38,"i'm so proud of these two for making such a beautiful song, and being such beautiful people!!!! We need more of this in this day.  And I still crush on Selena so HARD!",en
39,Selena is so beautiful and her voice is just adding layers of soothness ,en
40,This song really cheers me up when I’m mad or sad,en
41,"Música hipnótica,quando vejo estou dançando e sentindo uma paz indescritível  ️‍",pt
42,One of my favourite songs I love to listen it. The voice is matching the tune so perfectly and If I had such a perfect voice I'd Never Stop Singing ️,en
43,Can't get this song out of my head.....arrrrrgggg. ..,en
44,"Totalmente viciada nessa música!!! Vibe gostosa, ritmo ,letra. Amei!!!",pt
45,E aqui vai ficar eternizado essa obra prima melhor música dos últimos tempos ,pt
46,"Last night i was at Rema's concert here in Hyderabad, India he was absloutly killing it esp.. this song was fantastic",en
47,"Que moça linda!. Aliás, os dois são lindos demais!   ",pt
48,"the song is perfect, it's so relaxing..",en
49,It’s amazing how this music is such a vibe without saying anything offensive ,en
50,"Música linda,maravilhosa,sem palavras para esplicar mas quando escuto selena vejo essa linda MÚSICA mas não chamo de música e sim de obra de arte.",pt
51,"Absolutely LOVE this!!!
8 months since this came out and will still be my favorite song till I’m 80!!
(I’m 11)
- Maritza",en
52,Oh gosh her voice makes everyone calm down ,en
53,Eu acho a batida dessa música e a melodia absolutamente incrível ️ meu deus que vibe mais gostosa de ouvir essa música.   Perfeita,pt
54,"This song better get a Grammy! 
It’s a banger! ",en
55,"This is my happy song.  Gets me Dancing every single time !!!   
We need more songs like this !!  Mix up of more cultures. ..,",en
56,"What a song..
It will never old...",en
57,AMO ESSA MÚSICA ,pt
58,I love this song ,en
59,Everyday I come here to listen this masterpiece ,en
60,Selena Gomez é um espetáculo de mulher. Nunca me canso de admira-la ,pt
61,This song should be declared as the chill anthem of the year,en
62,"Selena is tempting in this video with effortlessly...
And that's enough to make me watch the whole video 
Over and over again",en
63,"Música linda. Linda Sel, lindo Rema! ",pt
64,"This unexpectedly touched me deeply. Hats off to the both of them. Great song, video & creative direction for everyone involved.",en
65,On repeat and it makes fire with Selena ️️,en
66,This better get a Grammy ,en
67,I super love this song. Cant stop playing it every day,en
68,"Show demais. Amo essa música, uma vibe  gostosa . O clipe tá lindo.",pt
69,"This song helps me to settle on my vibes , just move with the flow and say baby calm down ",en
70,This song has a relaxing vibe to it.,en
71,I can't understand the lyrics properly but still I enjoy the song and vibes that this music & song provide ,en
72,Amo essa musica ,pt
73,My 2 yr old wants this song on repeat all day everyday and I'm not even mad ,en
74,Amo demais a leveza da Selana em clipes e a vibe do Rema ficou perfeito com eles dançado,pt
75,mais uma música que vai envelhecer e eu não vou parar de escutar.,pt
76,I love this song so much,en
77,"Rema sendo incrível! E a Selena sensual e linda como sempre, sem precisar estar nua, exibindo o corpo ou fazendo coreografias que beiram a pornografia. Música e artistas de qualidade é isso.",pt
78,"I play this whenever I feel stressed. Instant mood change, so calming lol",en
79,She’s amazing this is a beautiful song Love Selena!!,en
80,Definitely a hit ,en
81,Selena is always amazing. I admire her strength and talent. Great song amazingly sang by both artists. Congratulations!,en
82,I can’t get enough of this song,en
83,Essa música é da hora é linda é show ,pt
84,THESE TWO WERE DESTINED TO SING TOGHETER THEIR VOICES MATCH SO MUCH!!!!!!,en
85,Great Song! Selena is definitely growing into her womanhood with grace,en
