comment;score negative;score neutral;score positive;score compound
The fact he sings about death threats he got and he’s donating the money off his song to mental health organizations. Yeah he’s got my support 100%;0.194;0.665;0.142;-0.4215
This song is like... so emotional. He got so much hate when olivia's fan didn't even know half the truth. The effect hate can have over one is tremendous, it really really messes with one's mental health and I hope this doesn't happen to anyone ever again. It's completely fine when we love a song, keep vibing with it but it's NEVER OKAY to give death threats or hate someone JUST BECAUSE YOU ARE A FAN!;0.219;0.615;0.166;-0.8831
After SOUR everyone labelled Joshua as the bad guy and people didn't even bother trying to listen to his side of it. I love how he just explains how he's being treated (by fans not Olivia) through his music. The reason he's one of my favourite singers is because his songs are more than just relatable. You can easily find songs everywhere of people saying someone broke up with them and how their hurting but its difficult to find songs that portray the feelings of the one who ended it, the one who's reasons are never heard. So finally being able to find an artist that describes these emotions makes me feel better. I was labelled the bad guy by every single person I knew and no one tried to listen to me. And Joshua's songs always speak for me. He's an underrated artist and he deserves more recognition.;0.102;0.84;0.058;-0.7982
After listening to the Sour album and all of Josh’s songs (and now these 3 new ones) I’m with Josh on this. Both sides need to be heard, and it’s heartbreaking he got death threats. Olivia did some damage. He’s not digging at her here. He’s expressing himself.;0.227;0.773;0.0;-0.9169
“Messing with my life as a career move” damn... he’s awesome. I can’t believe Olivia’s fans sent him death threats... it’s insane. How fucking pathetic could you be to care THAT much about the life of someone you don’t even know.;0.28;0.592;0.127;-0.8313
"""Half the shit you're sayin' is only half true You're messin' with my life as a career move"" 
Damn that hits hard!!!";0.292;0.613;0.095;-0.6981
The fact that Liv did nothing for the death threats and kept the drama going on over and over again just hurts me. I loved both of them so much. I was never picking sides. But this is just making me sad. Making everything about yourself isnt cool. and Liv did exactly that;0.17;0.757;0.073;-0.7202
The lyric at 1:20 about the death threats shattered me. Joshua didn’t (and still doesn’t) deserve all the hate he got, and no one should go through something like that. I’m glad that he mentioned that his mental heath is a lot better.;0.266;0.592;0.142;-0.8074
I feel so bad hes literally getting death threats hes underrated asf and hes talented asf. love you joshua keep drinking water and staying healthy your music is great<3;0.252;0.518;0.23;-0.2479
I love the music that has come out of this situation, but I feel terrible (at least emotionally) for everyone involved. Especially Josh, cause the support and success Olivia has gotten is crazy in comparison to the hate he (and Sabrina) received.;0.207;0.605;0.188;-0.2732
Maturiting is realizing Joshua being a bad person only happened in her fans' head and none of them deserve hate, but staying silent while your fans are ruining his life and putting his life in danger is enough to be mad at her and writing this song;0.276;0.724;0.0;-0.9432
Now THIS hits different, he told his side. He didn’t attack her, he kept together and expressed how hurt he was for her to make such songs that put him in a bad position.;0.244;0.756;0.0;-0.875
"It's not like I'm invested in their drama, just happened to enjoy both artists.

But I GASPED. THE TEA. HOLY HELL.";0.311;0.617;0.072;-0.8383
This song just confirmed for me that, despite what everyone wants to think, they were young and in love. As easy as it is to call one a villain and hating them, chances are they both did things that were wrong and hurtful and they likely also both have grown. No one has to be a bad guy. They were together and now they aren’t and that’s okay. You don’t have to defend them or pick a side, enjoy the art and realize there is probably more than either of them will ever say about how it played out.;0.156;0.71;0.134;-0.5719
I’m a big fan of both olivia and josh. I think both deserve the opportunity to release music that tells their story. I hate that some people exasperated the situation so much.;0.164;0.707;0.129;-0.34
"""Half the shit you say is only half true, messing with my life is a career move. I can't help but wonder why you won't make it end... cause you would never dare waste a crisis"" - shoutout to Olivia Rodrigo and her idol Taylor Swift. Really makes to reexamine their music or at least how you see it. They're such amazing songwriters so did we all just take their word as gospel because it was tied up in a pretty poetic bow.... Was Olivia the one who dumped him and then wrote a whole album about him being a traitor because he moved on? Cause then all her sassy lines and comments about his therapy are insanely cruel and so is the fact that she sat by and said nothing while she saw all the hate sent to him and Sabrina. And if they talked about therapy did she know that it was because he had been assaulted... Guess the line 'guess that therapy I found for your sexual assault really helped, now you can go and be a better man for your new girl' doesn't flow quite as nice. To be fair Taylor Swift has been demonizing guys who did like minor dick moves most of my life and we all cheered her on.";0.139;0.723;0.138;-0.4962
It's crazy how many people come back to this every second. This song is legendary ♡;0.138;0.862;0.0;-0.34
“ my momma called because she heard I got death threats “ this line hits different ;0.324;0.676;0.0;-0.7717
"When he said: ""it's cool if you want me to play the bad guy"" , i rly felt it. When 'SOUR' came out, I remember  thinking ""How did Joshua do it with the poor olivia >:("". I thought he was the bad guy.";0.19;0.697;0.113;-0.7269
