,comentario,liguagem
0,"Wow, this has been my biggest video launch to date, so chuffed with the reaction. Please keep sharing the video, behind the scenes coming Monday...",en
1,"It's 2023, and some songs never get old, no matter how much time passes",en
2,"Same vibes, same emotions as when we first heard it. This song made our hearts vibrate when it came out and it still does today. Good job",en
3,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
4,"It's truly remarkable how much all of us have evolved over the past 8 years since this song's release, and yet, it maintains a timeless freshness that captivates us just as it did on its first day.",en
5,"~~THINKING OUT LOUD Lyrics ~~

When your legs don't work like they used to before

And I can't sweep you off of your feet

Will your mouth still remember the taste of my love",en
6,"One of my favorite songs of all time. No matter how much time passes, it's forever timeless. Congratulations Ed ",en
7,8 years later and I still love this song ,en
8,This song never gets old ️,en
9,6 years later I still love this song,en
10,I've watched this dozens of times and it takes my breath away every time.  The girl dancing is absolutely amazing.,en
11,"Exactly 8 years ago since my girlfriend and I started dating. Every time I hear this song, it reminds me of everything—the times when we were still students and all we could give each other was love and time. Life is very hard and full of challenges. But I am deeply grateful because as time passed, our love for one another has grown stronger, and it continues to flourish with each passing day.  Next year will be our wedding day. I'm excited for the new challenges and achievements we will face together. I firmly believe that God will bless us abundantly and guide us towards our  goals and aspirations. You don't often come across comments like this, but I just wanted to say: I love you, and I will continue to CHErish and love you every single day <3",en
12,I could listen to this a million times and never get tired of it !!! ,en
13,This is one of my favorite songs. I can watch the video over and over. The choreography is timeless! They are so in sync and so flawless that you are just mesmerized!,en
14,He sang the heck out of this song and the video is absolutely beautiful,en
15,"Best music video. Ed Sheeran and Amy Wedge's songwriting, his singing, Brittany Cherry's dancing, Napoleon & Tabitha D'umo's choreography, and Paul Karmiryan's dance coaching and assistant choreography. A work of art.",en
16,Se existe música e coreografia mais linda que essa na terra  eu desconheço completamente ,pt
17,"lyrics, voice, moves, connection I still love ds song evn after all dz years️️",en
18,It’s 2023 this song is not getting old I never get tired to play even for how many years or decade will passed such a great masterpiece ,en
19,This played on the bus today and i remembered that this song never gets old,en
20,"3.5b views, just proves how much of a incredible song this is.",en
21,"Ed this song speaks personally to my husband and I. We got married to it. Love it from the first time and always will.

Thank you Ed ",en
22,Amo demais essa música ,pt
23,This song makes my mom cry. That's why I listen to it and think of how it touches her heart. My dad got sick and was gone by the time I was 3 and she never remarried. Her focus was on raising us kids.. Her heart is still young and she still feels at 70 years old. The heart is immortal folks. Wish she had someone special.,en
24,I love this song it's everything to me this song is everything to me️,en
25,"I'm here to celebrate this beautiful song by Ed Sheeran. I'm actually old enough to remember ""Let's Get it On"" as a top 40 hit. The only real similarity between that song and this one is that they're both music to accompany falling in love.
Which I hope no one ever copyrights.",en
26,Amor por essa música,pt
27,2023 and still watching this everyday. Love this,en
28,"It's a beautiful song, congratulations to ED ,the way he picks his lyrics ,like up and down tone is so unique,this is art in music.",en
29,"Congratulations, dear Ed Sheeran!  This song is a masterpiece - there is no similarity to the other song at all!!!",en
30,I will never ever get tired of listening to this song! Every time I come across it. I listen to it. Will always be my favorite love song.,en
31,"As a music publisher, I’m pretty good at listening for similarities in songs. There is NO similarities between the two songs. I’m surprised this even went to court. Congratulations to you. Great song !",en
32,"clipe espetacular, extremo bom gosto !!!",pt
33,The story behind this song is amazing . One of Ed's closest friend Amy Wadge was running out of cash and she was unable to pay her mortgage . Ed let her co-write Thinking Out Loud and he paid for her task . This song changed the life of Ed and Amy . Ed man of words,en
34,"I love this song, wish I could dance like that before I die.",en
35,8 years and still fascinating! ,en
36,"I'm not necessarily a fan of Ed, but i spent an afternoon in a bar a few years ago where a young couple played this song on the jukebox multiple times while dancing.  I overheard they were rehearsing for an upcoming wedding dance.  I get emotional to this day.  I hope those kids are doing well.",en
37,Vim pela entrevista do Ed Sheeran ao Fantástico.Ed você é lindo demais ansioso pela sua vinda Brasil te amo 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,pt
38,"I love this song, I can listen over and over!!",en
39,"Congratulations Ed i love this song for the end of times. It never will be the same of anything else. 
Love love.  Forget forgive and let's continue doing magic music please.",en
40,"Despite any and all legalities... I love this song from deep down somewhere so deep you can't swim, tread... you just have to let the warm waters of love consume you ",en
41,I grew up listening to this song and it's still my favorite til this day ,en
42,Eu amor muito essa música,pt
43,"This song is like wine, the older it gets the better it becomes!! Beautiful song ️",en
44,Me lembro que já escutei essa música na novela I Love Paraisópolis muito linda essa canção,pt
45,Passa anos e anos voltou a escutar esse hino,pt
46,"I danced with my wife to this song,  it was our first choice. 5 years together now ️",en
47,What a true  song the meanings are so real,en
48,One the best songs!!,en
49,"Great news, justice prevailed.  Such a beautiful song <3.",en
50,This song always hit different no matter how many times is played.,en
51,GREAT SONG by a talented singer,en
52,God I love this song ,en
53,Still my favourite song to date. Good job Ed,en
54,This is the essence of pop,en
55,my grandma told me to play this at her funeral. a week ago she died. yesterday was her funeral. we all played this. my grandpa was balling. everyone was so sad. she was such a beautiful women. i’m just glad her suffering is done and she is in a better place.,en
56,"Absolutely Amazing talent.
I love him, he is amazing ️️",en
57,This song is an addiction and I'm just dreaming about this moment I will play this song in guitar for my special person to feel him special ,en
58,Your a beast. Keep rolling on.  You make the greatest music. In life haters will always try and bring the great ones down. Ed your awesome sir. I'm writing this with my eyes closed.,en
59,"As someone who was alive when Lets Get It On was first released (and I love that song) this song is just nothing like it! I'm glad Ed won his case. I think Marvin would be ashamed of this lawsuit and would never have allowed it to come to trial. Proud of Ed that he cut out the cursing when he was rebuked by the father of a teen girl who loved his music. That showed maturity and accountability. Ever since I heard that story, I've been a fan. Congrats, Ed! This is just a classy, romantic, sexy and joyful song and video. Love it!",en
60,Essa música é simplesmente linda ela é muito executada a aqui no Brasil precisamente na Atarde FM em 103.9 amo demais essa música!,pt
61,"Years will pass, and we will grow up, but this song will live on in our hearts forever. ",en
62,You wrote this song from the mind of an old man. I’m hearing this because of the lawsuit. I have to admit I’m crying right now. I’ve been married 30+ years and my wife has cancer and has been sick from the treatments. You wrote like you’re in your 50s. That’s a deep soul you’ve got.,en
63,"Wow,congrats Ed ,youve brought young memories of young love which never fades,Congratulations ,being a 64 yr old ,I say Big ups to this song,it really heals my soul,even to younger generation ,",en
64, what a beautiful song. Its unique.,en
65,This song makes me tear up and reflect on life.,en
66,Congratulations on the win !!!! Playing this on repeat for you,en
67,"Brittany Cherry is Ed's dance partner in this video and she delivered a marvellous performance! 
I turned to Google to find out who she is because she doesn't get credited in the description box. Now you know her name too.

The video and the song are impeccable. Enormous gratitude towards the entire team that made it into reality.",en
68,Beautiful song and Beautiful dancing! Ed is a pro dancer!,en
69,"8 years later and still here. Congrats, bro! Keep going ",en
70,"Until now it give me goosephumbs, when I hear this beautyfull songs ️️ It a stamps and remarkable memory in my heart. Thank you Ed Sheeran, real meaningfull... Timeless️‍️️",en
71,I am so pleased justice was served. The two songs just can’t be compared.  They’re both great songs but nothing alike. ,en
72,"This song never gets old. No matter how much I listen to it, I never get bored.",en
73,Great song Ed Sheeran beautiful lyrics!!!!,en
74,6 years later and i still can't believe how good this song is-,en
75,Congrats Ed  keep making beautiful music,en
76,"Im not generally a pop fan, but this is such a beautiful song and video",en
77,Muiyo boa amo essa canção ,pt
