,comentario,liguagem
0,"I can love me better than you can…. FLOWERS SINGLE + VIDEO OUT NOW. 

https://mileycyrus.lnk.to/Flowers",en
1,I love how she’s not singing about being wronged and hatred towards Liam instead using her voice to literally tell people to love themselves ,en
2,"Love that she’s the only person in the music video, really drives the message home that you don’t need anyone else to feel complete and loved ",en
3,"she’s done it, after avoiding her for years this song got me into her music. The album is on heavy rotation. ",en
4,I really love this song she really did it with this song,en
5,I really like Miley‘s voice here. Rough and deep. Unique.,en
6,Amo essa música  ,pt
7,"Seen her Hannah Montana era, wrecking ball era, malibu era, and then this flower era. Grown up with her and she has my total respect for being such a strong, admirable woman. Love you Miley.",en
8,"This song for me is more than iconic, because bringing together two unique voices in the entire universe and making a song with such a spectacular sound, all I have to do is thank them and their team!",en
9,adorei demais,pt
10,I love how she stays true to her self and is never afraid to be herself even in front of millions of people,en
11,I love this song ️. Great reminder that's it's okay to be alone,en
12,Man I love how her voice has transformed. She's always been a little raspy but damn has she dialed it in or what? Expressing herself and loving herself. Looks like she took some notes from Lady Gaga.,en
13,Only a legend can make a song this beautiful Miley cyrus is a true legend ,en
14,"More of this please, Miley! The only song I can listen to of her’s with my kids.",en
15,I think she has a special place in our hearts because a lot of us got to watch her grow up. It’s so cool to see her evolution as an artist and as a person. ,en
16,I didn't know how bad I needed this song in my life until I heard it. Love it!,en
17,"This song is relatable, so perfectly written. Keep on creating true art Miley!",en
18,"Miley inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
19,Love love love this song.I play it over and over and it gets better every time. Thanks Miley for the new confidence I have. More power to you!!!,en
20,I love flowers  ,en
21,Can’t get enough of this song. Listening over and over.,en
22,This full song is masterpiece ,en
23,I love this master piece  it's my hymn right now ,en
24,"Parabéns Miley que música linda, letra profunda.. ouço todos os dias!! 🇧🇷🇧🇷🇧🇷",pt
25,can we just appreciate the fact that this woman has done a great variety of genres and slays them all???,en
26,I love this song ♡,en
27,I think this is the best song you've ever done! Great job Miley. Keep being awesome ,en
28,I loved this song from the moment I heard it ,en
29,"I love that she’s reminding us to love ourselves and we don’t need a relationship to survive, but I LOVE that she filmed this at THE house. ICONIC.",en
30,I love the juxtaposition of her going between dancing like someone is watching to dancing like no one is watching. This is the breakup energy we all need and I'm here for it ,en
31,"i love this so much, so many of the girls are bringing self love bops and it’s exactly what we need",en
32,i love this song it's a hymn to all women who can be independent and proud of what they have achieved on their own! thanks Miley for the incredibly strong text!,en
33,"Absolutely amazing song, your a true and exceptional artist Miley. I don't usually follow stars but absolutely love this song ",en
34,"Nós brasileiros estamos aqui ,,amamos essa músicas  parabéns está más quê certa",pt
35,i grew up in the 90s and this new music today normally sucks but i can always trust miley to keep some form of true pop music going.,en
36,Muito bom!!,pt
37,"Powerful song, she always puts out music you can feel the emotion",en
38,Great song! Love it,en
39,Miley never fails to read the room. Too many heartbroken folks out there not realizing they can just spoil themselves instead of waiting for somebody else to do it. <3,en
40,"“HE” truly deserves exactly this: to see you being so beautiful, strong and happy woman. You go, girl! ️",en
41,LOVE THIS SONG! I've listened to it over and over again.,en
42,This is the anthem song that so many people needed that says it all in one song.,en
43,Love her her songs are all awesome ,en
44,"She is literally the only person in the entire music video, yet she is so captivating, I can't look away. Great job!!",en
45,Fantastic song .love the beat and lyrics.,en
46,You’re the queen Miley ️,en
47,Your hits are so wow ,en
48,"I heared this the 1st time in CBD Melbourne last March 2023. It was playing everywhere. Definitely over played and I thought It was just an Australian thing. I was curious about the song and the singer sounds really familiar. After a month, I went back to the Philippines and I heard it again on the bus. I googled the lyrics and found out it's Miley Cyrus's song Flowers. Amazing! I can love me better indeed. Great job!",en
49,And this energy of her in this MV too... I can literally grab the good vibes and sense of freedom she's spreading,en
50,She's is back with a hit after a long time. That's sign of a true artist.,en
51,Miley has really evolved into a serious artist. Can’t wait to see what she has in store.,en
52,"She looks well, strong and healthy. Good for you Miley! Great song!",en
53,"I love this song, beautiful voice and lyrics",en
54,"Such a great song, her vocals are perfect on it, the words, the vibe....love it all and love to see this from Miley....probably my favourite song from her.",en
55,Miley has never failed. Since I was 6 years old she has been and will always be one of my biggest inspirations. Always make sure her music has a powerful meaning behind it,en
56,"Miley is great, vocals can't be beat!",en
57,One of my fav songs from Miley!,en
58,I don't like Miley but this is her best song! I love the music and the lyrics. Bravo. Well done.,en
59,This song is my jam! So much truth behind it. You don’t your happiness in someone else’s hands! Create your own happiness!,en
60,Flowers is predicted to be number 1 on the billboard hot 100 year end chart  keep streaming,en
61,"In my opinion,she truly found herself as an artist with this song.The creativity put into the video is remarkable.",en
62,Que VIBE maravilhosa!!!!!,pt
63,I can listen to you sing all day. You stand out as an individual performer.,en
64,She never fails with cuteness Beauty charm ,en
65,Great song deep lyrics love it.,en
66,This is the best version of Miley. such empowerment and strength. This is excellent.,en
67,Gotta love Miley and the song!!!,en
68,This song reminds me how great and amazing it is to be single like I can love myself so much better ,en
69,It sounds liberating. She sounds free and happy. I hope she really feels like how we see her in the video. It’s also different from her previous work. She keeps reinventing herself and she nails it everytime. Can’t wait to see more from this side of her. I felt like this era will be more personal & friendly.,en
70,"I play it, and I dance like a maniac! It's a freakin' beautiful song ",en
71,"A voz dela é diferenciada , forte e rouca, eu gosto.",pt
72,The tone of her voice is so beautifully warm & nostalgic. My heart warms up every time it hears her sing!,en
73,"Seen her Hannah Montana era, wrecking ball era, maliba era, and then this flower era. Grown up with her and she has my total respect for being such a strong, admirable women. Love you Miley Cyrus ️",en
74,Best song on the album !!!,en
75,I love the message of not needing someone and how she’s just vibing/feeling herself. And the beat just makes you want to dance along as well. Definitely a great listen!,en
76,"I've been going through a particularly tumultuous time in my marriage recently. I'll work it out, but today I really looked at the words of this song, and it touched my heart.

I have been singing this song out loud this morning, and it's making my morning so much better. I'm so glad I'm not the only person out there that has to go through something like this.",en
77,"Over 427 million views now! Well-deserved, Miley. Perfect song and I love the new album Endless Summer Vacation!!! ",en
78,Killed this ,en
79,This song is absolute a great song because of the lyrics...thank you ⚘⚘⚘,en
80,Os brasileiros viciados nessa música  aberta o coração,pt
81,"I love how she gives us new music and style every single era. Like she’s completely different person, but at the same time she’s just being Miley. Can’t wait to see what’s coming next xx",en
82,Love Miley’s voice!,en
83,This song is amazing. An instant classic!,en
84,Thats an amzing song ..and her moves and expressions killed it ..I am in love with her ..,en
85,This better win a Grammy ,en
86,It's so refreshing to hear a song that reminds us that we don't need to be in a relationship to be happy.,en
87,"Just when you think Miley Cyrus doesn't have another hit, she surprises us again!!! This one will definitely be a classic!",en
88,This song is stunning,en
89,I  don't normally listen to this type of music but this song is really good.,en
90,This song was fun the first 20 times i heard it. I love when the radio plays the same song twice an hour every day for months on end,en
91,"Love this song. You are a great artist girl!!!! Love your voice, your style, your music!!! You are amazing ",en
92,"Ooh, I ️ this song! It's living rent-free in my head. ",en
93,"I think it’s gonna be another great year for new great music.  Her looks, her music, and her laugh just pull you in to another dimension.",en
94,I love this song and her rhaspy vocals,en
95,Such an awesome song Great party! I love this....please do this kind of and not so much cover songs. But with Billy Idol is the best. All my best from Finland!,en
96,Sooooooo smart from Miley. The type of song we will still hear in 50 years. This is what is music is all about.,en
97,She’s like a whole new Miley. I love how she evolves into a different woman. Talent is undeniable.,en
98,Great job Miley Love it !!!!,en
99,"That 422 million views is getting close! I just finished listening (again) to Miley's latest CD Endless Summer Vacation that this song is on. Such a fantastic CD! Everyday I change my mind about my fave songs  because they are all amazing. Currently my faves are Violet Chemistry, You, and of course, Flowers. Every single song on this CD has its own unique  elements and style that set it apart from the others. Best purchase I made this year was this outstanding CD. Miley, you are so talented and I love your unique raspy voice.  I sing along, but your voice and singing is extraordinary! Good thing no one can hear me lol",en
100,"Relatable song that I love so much , thank you Miley 🇿🇦️",en
101,"Fantástico!!
Incrívelmente belos e talentosos 
 Não me canso d ouvir esta canção",pt
102,Thank you Miley I needed that right now,en
103,"Absolutely insane that we often forget our own identity at the expense of another person. 
Miley, from the bottom of my heart, thank you. You’re a role model to so many of us especially that we grew up with you. Thanks for reminding us that we always have ourselves, we don’t need a plus one to be complete.",en
104,"Years after years, I see a new Miley, more mature, more attractive as when a flower starts to blossom ",en
105,"love Miley, the way she sings, feeling free",en
106,"This song is on a playlist loop in my brain: ""...talk to myself for hours, say things you don't understand..."" is the line that repeats most often like a broken record, in a very good way. :)",en
107,"Miley has inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
108,Literally been with Miley since the beginning I love her no matter what,en
109,"What I have come to love about Miley is how she always acknowledges her self worth and along the way has never watered herself down in fear of others perception. She finds her freedom within herself and expresses that unapologetically. It’s liberating to see someone so comfortable with themselves, their body and their talent.",en
110,"It over joys me, her thoughts portrayed in her music here, her truth resonant with us, and above all, Miley, great song!",en
111,"This clip have to win some award. What a performance, and really great mind behind it all.",en
112,this song definitely makes you loving yourself more! EPIC,en
113,"I am 70 and just found this!!!I crank it up and dance to it every day...Miley's voice,dancing,the back-up singers. Fabulous!!!!",en
114,Instant classic. Probably her best work.,en
115,Miley's voice sounds wonderfully lush here! I'm also happy this is a song about self love. It's just what the world calls for at the moment.,en
116,Love this song.,en
117,I love this song,en
118,Her dancing like it's nobody’s business. I'm living for it!,en
119,i can listen to this song non stop,en
120,The fact that Miley brings this song with an irresistible hook and that beautiful look makes us appreciate how talented she is and her ability to reinvent herself,en
121,O baixo dessa música é top ,pt
122,Love  this song! Go Miley!,en
123,Best song of the Year hands down!!!,en
124,I ve been married 40 years and has been going down a slippery slope for years it's  amazing what this song has done for me I really want happiness and don't need a man well done miley,en
125,"I haven’t ever disliked her…but hadn’t ever been a big fan…BUT this song…it is absolutely amazing. She has no idea how much her pain, and sharing will and has touched so many. I’m typically a rock fan, but this song is absolutely brilliant!",en
126,Love it  ,en
127,She is a new queen ,en
128,This is the kind of song that you know will listen for many years.,en
129,Can't stop listening this song. Lve it ,en
130,It's such a beautiful song,en
131,So proud of how far Miley has come in terms of her music career and embracing different genres. I’ve been a Smiler since the Hannah Montana days and will forever be supporting her. I’m so excited for the new album.,en
132,Listening to this while being ignored by a boyfriend who is on holiday it hits differently  but I can buy myself flowers! ,en
133,"Não entendo muito bem de inglês, mas eu amo essa música. Acho o ritmo maravilhoso pra dançar",pt
134,Awsume tune congrats Miley ,en
135,"Her voice really matured, wow.",en
136,I love this song the best of Miley Cyrus  !,en
137,"She’s probably the latest Disney ex stars who’s still as talented as successful. She’s still able to reinvent herself thru all of her eras, it’s just breathtaking.",en
138,I love ️ this song!,en
139,I love this song so much to the person that made this song has brought my vibes out we may not know eachother but I love this song,en
140,"One off the best breakup songs! Kinda give 80s+90s vibe. No bullshit sex slang!
Want this kind of music more!",en
141,"That was definitely something else! The lyrics, vocals, the beat, the self-confidence feeling it gives and the carefree vibe; everything is just so good! It truly makes you feel good about yourself. I can literally take myself dancing with this bop ️. The ""can love me better, I can love me better, baby"", is just so perfect! ",en
142,I love this song by Miley. Took my granddaughters to see all the Hannah Montana movie and tv shows. ️,en
143,"Miley inspired me to go all in  with my music . She was just like me , an artist trying to get heard .And now  shes on top. It's happening for me , and I'm not stopping when it does !",en
